ID,Age,Residence,V-SE-Power,V-SE-Achievement,AVG-V-Self-Enhacemen,V-O-Hedonism,V-O-Stimulation,V-O-Self_direction,AVG-V-Openness_to_change,V-ST-Universalism,V-ST-Benevolence,AVG-V-Self_transcendence,V-C-Tradition,V-C-Conformity,V-C-Security,AVG-V-Conservation,P-OX-Aesthetic_appreciation,P-OX-Inquisitiveness,P-OX-Creativity,P-OX-Unconventionality,AVG-P-Opennes_to_experience,P-E-Social_boldness,P-E-Social_self-esteem,P-E-Sociability,P-E-Liveliness,AVG-P-Extraversion,P-HH-Modesty,P-HH-Greed avoidance,P-HH-Fairness,P-HH-Sincerity,AVG-P-Honesty-Humility,ATT-Favourable,ATT-Smart,AVG-ATT,BEH-take_part,BEH-passenger-usage,PARTIC-YES-passenger-explanation,BEH-driver-usage,PARTIC-YES-driver-explanation,INT-passenger,INT-passenger-explanation,INT-driver,INT-driver-explanation
"1,11E+15",25-34,Croatia,4,7,5.5,8,5,9,7.33,2,8,5.0,4,3,5,4.0,2,4,5,5,4,4,4,4,4,4.0,4,5,5,4,4.5,5,5,5.0,1,2,"I shared a taxi, mostly Uber or Cammeo.",1,I offered a ride to people when travelling from one city to another.,4,I think its a great way to save some money.,4,I would deff offer a ride for a fee.
"1,11E+15",25-34,Slovenia,4,5,4.5,5,7,9,7.0,9,9,9.0,5,5,7,5.67,5,5,5,4,4,3,4,4,3,3.5,5,3,5,5,4.5,5,5,5.0,1,2,"I needed a ride, but didn’t have my own car/other vehicle at that moment.",2,"If someone asks me for a ride and I have the option to provide transportation and have available seats, I’ll do it.",4,"I haven’t had bad experiences with this, so I gladly accept. Public transportation sometimes doesn’t meet my desired departu",4,"Basically, if you share a rode for a fee, you either make a small profit or at least get to 0 expenses. So that makes sense."
"1,11E+15",35-44,Slovenia,5,5,5.0,5,5,5,5.0,5,5,5.0,5,5,5,5.0,3,4,3,4,3,4,4,4,2,3.5,3,3,3,3,3.0,4,4,4.0,1,1,"Did not need a ride-share, did not travel a lot in the last 12 month.",1,Did not go on a long distance ride.,3,Have my own car.,4,It is good to help someone without a ride.
"1,11E+15",25-34,Germany,5,7,6.0,9,9,9,9.0,9,9,9.0,3,5,2,3.33,5,5,5,4,4,4,4,5,2,3.75,5,4,4,4,4.25,7,7,7.0,1,2,I have used apps such as bla bla car or shared an Uber ride,1,I don't have a driving license,5,cheaper and easier,4,sharing gas costs
"1,11E+15",25-34,Germany,7,9,8.0,7,7,7,7.0,9,9,9.0,4,5,7,5.33,4,4,4,5,4,3,5,4,4,4.0,4,2,4,3,3.25,4,2,3.0,1,1,Didn't travel a lot.,1,As above.,5,For the experience.,4,For the experience.
"1,11E+15",35-44,Germany,9,9,9.0,9,9,9,9.0,9,9,9.0,3,2,9,4.67,5,5,4,5,4,5,4,5,5,4.75,5,3,5,5,4.5,7,7,7.0,1,2,why not,3,I like to save money and help people out,4,its cheaper and a good way to meet new people,4,why not!
"1,11E+15",25-34,Slovenia,5,5,5.0,7,7,7,7.0,2,7,4.5,3,4,2,3.0,3,5,3,5,4,3,4,3,3,3.25,3,3,5,4,3.75,5,5,5.0,1,3,"it is ecological, cheaper, faster.",2,im not a driver. i've only be on co-drivers place in car sharing.,4,"ecological, cheaper, faster.",4,"ecological, cheaper, faster."
"1,11E+15",35-44,Slovenia,4,7,5.5,5,7,8,6.67,8,8,8.0,5,3,4,4.0,2,4,4,4,3,5,5,4,5,4.75,3,2,4,1,2.5,5,5,5.0,1,2,"Inconvenience of spending time arranging the ride,   impracticable for cargo, short rides...",2,Took some hitchhikers... if that counts,2,Ride to the store???   I do not travel long distances alone ever...,2,I would not bother with money...
"1,11E+14",45-54,Croatia,4,3,3.5,3,4,5,4.0,5,5,5.0,5,5,5,5.0,4,4,4,3,3,3,5,4,4,4.0,5,3,5,3,4.0,4,4,4.0,1,2,Have own car.,1,Dont want to.,3,Not sure.,2,Car not good enough.
"1,11E+15",35-44,Slovenia,4,5,4.5,4,4,2,3.33,7,9,8.0,5,5,9,6.33,4,4,4,4,4,3,4,3,4,3.5,5,4,5,4,4.5,2,5,3.5,1,2,Do not know,1,I did not look for ride sharing,2,Should know more about ride,2,Have small children
"1,11E+15",35-44,Slovenia,2,4,3.0,7,8,9,8.0,9,9,9.0,2,5,4,3.67,4,5,4,4,4,3,5,4,5,4.25,4,5,5,5,4.75,2,7,4.5,1,1,I had no need.,1,No need.,2,I have no need.,2,"I ride I bike most of the time, so I have no need for car sharing."
"1,11E+15",25-34,Netherlands,1,7,4.0,2,2,7,3.67,7,2,4.5,3,3,5,3.67,2,5,4,4,3,3,4,4,3,3.5,5,4,5,4,4.5,2,2,2.0,1,1,It didn't happen as I used public transport or my car,2,"Sometimes if I drive I like to share my ride. However, since I do not travel that much nowadays, finding people to ride with is",4,If needed I will,2,"I don't like to do car sharing for a fee. For longer distances, I would appreciate a good gesture or sharing expenses"
"1,11E+15",25-34,Germany,8,9,8.5,8,5,7,6.67,7,8,7.5,3,2,9,4.67,1,5,3,4,3,1,4,4,2,2.75,4,3,5,4,4.0,2,3,2.5,1,2,usually going to work or off work with a colleague,1,didn't have a car,2,prefer having my own car,2,"I would offer it only to the familiars, never to a stranger"
"1,11E+15",25-34,Germany,7,8,7.5,7,7,8,7.33,9,7,8.0,4,5,5,4.67,5,5,5,4,4,4,4,4,2,3.5,2,2,2,4,2.5,5,5,5.0,1,1,Great public transportation in Berlin.,1,I don't have a driving licence.,3,I like to be alone in public transportation.,2,I like to be alone on my transportations occasion.
"1,11E+15",25-34,Germany,4,5,4.5,2,8,9,6.33,7,8,7.5,1,3,9,4.33,3,5,4,3,3,2,4,4,2,3.0,4,4,4,2,3.5,5,4,4.5,1,2,Two or three Ubers in Berlin and the UK,1,Too scared to drive on the right of the road,4,Convenience factor,2,Strangers in my personal space
"1,11E+15",55-64,Slovenia,2,5,3.5,5,5,9,6.33,9,9,9.0,9,5,9,7.67,2,4,4,3,3,4,4,4,3,3.75,2,3,4,1,2.5,5,5,5.0,1,2,Good,2,Ok,4,It is easy,2,No time to advice
"1,11E+15",35-44,Slovenia,3,4,3.5,3,3,2,2.67,7,7,7.0,4,2,8,4.67,1,5,3,1,2,4,5,5,3,4.25,4,4,5,4,4.25,7,7,7.0,1,2,I didn't had a car (it was on repair).,3,Each day I drive to Ljubljana for work (25 km). This is a way so I don't have so much expenses and I have company on the ride.,5,If there would be possibility I would like to ride with somebody else couse I don't have so much stress.,2,I think that if I have expenses I would like to share it with those who also use my car.
"1,11E+15",35-44,Slovenia,4,2,3.0,5,7,7,6.33,5,5,5.0,2,4,5,3.67,4,4,5,3,4,3,4,3,5,3.75,3,2,5,4,3.5,4,5,4.5,1,1,"Not needed, have our own car",1,I don't drive,2,"We have a car so it's not likely, also now we also have a baby so not realistic",2,"If it was a friend, then yes but it would be for free, not likely to give a ride to strangers. I would not feel comfortable"
"1,11E+15",55-64,Slovenia,5,5,5.0,9,5,9,7.67,9,9,9.0,9,9,9,9.0,5,5,4,4,4,4,5,5,2,4.0,5,4,5,5,4.75,2,7,4.5,1,2,When going somewhere as a group we decide to go with 1 car and share the costs.,1,I do not like to drive during dark... so I eas a pasdinger,4,For the same reason I akready wrote,2,I am used to lent tha car only to my family members (there are 5 adults and 1 car) or a friend - we all just pay for the oil
"1,11E+15",18-24,Slovenia,3,5,4.0,8,8,9,8.33,8,9,8.5,4,5,8,5.67,3,5,4,4,4,5,4,4,1,3.5,4,4,2,4,3.5,7,7,7.0,1,2,Cheaper rides,1,Dont own a car or any vehicle,4,"Convenient, cheaper",2,Dont have the need to do it
